label,message
spam,"Win a free iPhone now! Click this link to claim your prize."
ham,"Are we still meeting for lunch tomorrow at 1 pm?"
spam,"Congratulations, you have been selected for a lottery reward. Reply YES to claim."
ham,"Please send me the project report by evening."
spam,"You have won $1000 cash. Visit our website and enter your bank details."
ham,"I will call you after I finish my work."
spam,"Limited time offer!!! Get 90% discount on all products. Buy now."
ham,"Can you share the notes from today’s class?"
spam,"Your account has been suspended. Verify your password immediately using this link."
ham,"Thanks for your help with the assignment."
spam,"Cheap medicines available online without prescription. Order today and save big."
ham,"The meeting is rescheduled to 3 pm, please be on time."
spam,"Earn money from home by clicking ads all day long. No experience needed."
ham,"Happy birthday! Wish you a great year ahead."
spam,"Exclusive deal only for you. Claim your reward card before midnight."
ham,"Let me know when you reach home safely."
